"TrxG" "TrxGR" "Yellow" "YellowR" "PcGM" "PcGR" "HP1" "Black"
"polII" 1.86315175690016 -0.458747037368603 2.65883440562401 -0.32179303031764 1.28353912060624 -0.151236270303677 -0.268257045999203 -0.37739124060167
"H1" -1.24480668978211 0.789222166681508 -1.87732987284603 0.513524227549092 -0.848355931796904 0.479213275044831 0.699411717310856 0.929827987154035
"HP1" 0.433325393782672 0.00481705201899392 0.345631076477577 0.084492028229154 0.200125070251898 0.0428624371457109 2.78416787794253 -0.132964648535717
"Lam" -0.409351961214725 0.362885774628809 -0.722400110825751 -0.0396552334970202 -0.372522592911404 0.0442625271436434 0.162792883098174 0.534920951703278
"MRG15" 0.28943170795103 -0.0313913411708644 2.40198875137505 2.11731777802886 0.521217545262697 0.10302485177871 0.335322848174748 -0.0759012531469461
"Pc" 0.261760628395803 0.306813465205125 -1.93036654980208 -1.15598378882527 5.39732504848808 3.72368606706465 -0.286793000630093 -0.00562846231081475
"Brm" 2.99464457691624 0.539056740787095 0.695744158597717 -0.258231056789113 2.76078604449749 0.700428974245277 -0.0961729941166956 -0.182041810711117
"SuVar39" -0.383455183465872 -0.180689216896919 -0.493876965386111 -0.13757495208886 -0.540278068272321 -0.222470798909945 2.73896372950759 -0.0441961784274642
